sector_id,set_id
1,1
9,2
3,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,17
9,18
9,19
9,20
9,24
1,26
3,26
9,26
9,27
9,28
9,29
9,30
9,31
9,32
1,36
3,36
9,36
1,37
3,37
1,38
3,38
4,38
5,38
6,38
9,38
11,38
14,38
15,38
21,38
22,38
24,38
1,39
3,39
6,39
22,39
24,39
1,41
3,41
6,41
9,41
17,41
21,41
1,43
3,43
6,43
22,43
24,43
1,44
3,44
6,44
22,44
24,44
1,45
3,45
6,45
22,45
24,45
1,46
3,46
6,46
22,46
24,46
1,47
3,47
6,47
22,47
24,47
1,48
3,48
6,48
22,48
24,48
1,49
3,49
5,49
6,49
9,49
11,49
14,49
21,49
24,49
1,50
3,50
5,50
6,50
9,50
11,50
14,50
15,50
21,50
24,50
1,51
3,51
5,52
6,52
9,52
11,52
14,52
15,52
22,52
24,52
9,56
9,57
9,58
1,59
3,59
5,59
6,59
9,59
11,59
14,59
15,59
24,59
1,61
3,61
5,61
6,61
14,61
15,61
1,63
3,63
5,63
6,63
14,63
15,63
1,64
3,64
5,64
6,64
14,64
15,64
1,71
3,71
6,71
9,71
15,71
22,71
24,71
1,76
3,76
1,77
21,77
21,80
21,81
1,83
5,83
6,83
11,83
14,83
24,83
1,84
5,85
6,85
1,86
5,87
6,87
1,88
5,89
6,89
14,89
23,90
3,91
1,92
22,92
9,93
9,94
9,95
9,96
9,97
9,98
9,99
9,100
9,101
9,106
9,107
9,108
1,109
3,109
9,111
9,112
9,113
5,117
14,117
15,117
5,118
11,118
14,118
15,118
24,118
5,119
14,119
15,119
5,120
6,120
11,120
14,120
1,122
3,122
9,122
1,123
3,123
16,123
1,124
3,124
16,124
21,124
1,125
3,125
16,125
21,125
1,126
3,126
21,126
1,127
3,127
21,127
1,128
3,128
21,128
1,129
3,129
21,129
1,130
3,130
6,130
11,130
14,130
15,130
16,130
21,130
24,130
1,131
3,131
16,132
35,132
38,132
16,133
22,133
38,133
16,134
22,134
1,135
9,135
1,136
9,137
1,140
9,140
1,141
9,141
1,142
3,142
4,142
9,143
9,144
9,147
9,149
9,150
1,152
3,152
21,152
22,152
37,152
1,153
21,153
22,153
1,154
3,154
9,155
9,156
1,158
9,158
16,158
23,158
1,160
5,160
6,160
9,160
14,160
15,160
1,161
5,161
6,161
9,161
14,161
15,161
9,162
9,164
22,165
9,166
1,167
5,167
6,167
9,167
1,168
5,168
6,168
9,168
14,168
15,168
1,171
3,171
9,172
9,173
1,174
9,174
1,179
3,179
5,179
6,179
11,179
15,179
21,179
24,179
1,180
3,180
5,180
6,180
11,180
15,180
21,180
24,180
1,182
3,182
5,182
6,182
11,182
15,182
21,182
24,182
1,183
1,184
3,184
6,184
9,184
11,184
14,184
24,184
2,185
9,185
2,186
9,186
1,187
5,187
6,187
9,187
11,187
14,187
15,187
21,187
24,187
1,188
5,188
6,188
9,188
11,188
14,188
15,188
21,188
24,188
9,189
1,190
9,191
1,192
3,192
1,193
3,193
1,194
3,194
1,195
3,195
1,198
3,198
9,206
9,207
9,209
9,210
9,211
9,212
9,213
9,215
9,217
9,219
9,220
9,221
9,223
9,225
9,226
1,228
3,228
5,228
6,228
9,228
11,228
14,228
15,228
24,228
1,229
3,229
5,229
6,229
9,229
11,229
14,229
15,229
24,229
1,230
3,230
5,230
6,230
9,230
11,230
14,230
15,230
24,230
1,231
3,231
5,231
6,231
9,231
11,231
14,231
16,231
21,231
22,231
23,231
9,232
9,233
9,235
9,236
9,238
9,239
1,243
3,243
4,243
6,243
9,243
15,243
21,243
22,243
23,243
25,243
9,246
9,247
9,248
9,249
9,250
9,251
9,252
9,253
9,254
9,255
1,257
3,257
1,258
1,260
2,260
3,260
4,260
5,260
6,260
9,260
11,260
15,260
21,260
22,260
23,260
25,260
9,261
9,263
1,264
2,264
3,264
5,264
9,264
11,264
21,264
22,264
23,264
25,264
1,265
3,265
5,265
6,265
9,265
11,265
21,265
22,265
23,265
25,265
9,266
22,266
23,266
1,267
3,267
6,267
9,267
11,267
21,267
22,267
23,267
25,267
1,268
3,268
5,268
6,268
9,268
11,268
21,268
22,268
1,269
3,269
5,269
6,269
15,269
16,269
21,269
25,269
1,270
3,270
5,270
6,270
15,270
16,270
21,270
25,270
1,271
2,271
3,271
6,271
16,271
21,271
25,271
1,272
2,272
3,272
6,272
16,272
21,272
25,272
1,274
1,275
1,276
1,277
1,280
3,280
15,280
21,280
1,281
3,281
15,281
21,281
1,284
3,284
5,284
6,284
11,284
14,284
15,284
17,284
21,284
24,284
9,285
9,286
9,287
9,289
9,292
9,293
9,294
9,295
9,296
9,297
2,304
9,304
2,307
9,307
2,308
9,308
2,309
9,309
2,310
9,310
2,311
9,311
1,313
3,313
15,313
1,314
3,314
15,314
1,315
3,315
15,315
9,317
9,318
9,319
9,320
9,321
9,322
1,323
1,324
1,325
3,327
15,327
21,327
1,329
3,329
15,329
21,329
1,331
3,331
15,331
21,331
9,335
9,336
9,337
9,338
9,339
9,340
9,341
9,342
1,343
1,344
1,346
1,347
3,347
1,350
3,350
9,351
9,352
1,353
3,353
5,353
6,353
14,353
15,353
1,354
3,354
5,354
6,354
14,354
15,354
9,356
1,357
3,357
5,357
6,357
14,357
15,357
1,358
9,358
9,359
1,360
3,360
1,361
3,361
1,362
3,362
9,364
9,365
9,366
9,367
9,368
9,369
9,370
9,371
1,372
3,372
5,372
6,372
11,372
20,372
21,372
9,374
9,375
9,376
9,377
9,378
9,379
9,380
9,381
9,382
9,383
9,386
9,387
9,388
9,389
9,394
9,395
9,396
1,400
3,400
15,400
22,400
1,401
3,401
15,401
22,401
1,402
3,402
15,402
22,402
1,403
3,403
15,403
22,403
1,404
3,404
15,404
22,404
1,405
3,405
15,405
22,405
1,406
3,406
15,406
21,406
1,407
3,407
15,407
21,407
1,409
3,409
15,409
21,409
1,410
3,410
15,410
21,410
1,411
3,411
15,411
21,411
9,412
9,413
9,414
9,415
1,431
3,431
1,432
2,432
3,432
5,432
14,432
15,432
16,432
1,434
4,434
8,434
10,434
9,435
9,439
9,440
1,441
2,441
3,441
11,441
21,441
1,443
2,443
3,443
11,443
14,443
21,443
1,444
3,444
6,444
11,444
21,444
1,445
5,445
11,445
9,447
1,448
3,448
5,448
6,448
9,448
11,448
14,448
15,448
1,450
3,450
5,450
6,450
11,450
14,450
15,450
1,451
3,451
5,451
14,451
21,451
25,451
9,453
25,453
9,454
25,454
9,455
25,455
9,456
25,456
9,458
1,459
15,459
9,461
9,468
1,469
3,469
15,469
2,470
9,470
16,470
9,471
9,472
1,474
9,474
15,474
21,474
2,475
9,475
16,475
1,476
9,476
1,477
9,477
1,478
9,478
9,480
9,482
9,483
9,484
9,486
9,487
1,488
3,488
9,488
1,489
3,489
9,489
5,490
6,490
11,490
14,490
17,490
23,490
5,491
6,491
11,491
14,491
17,491
23,491
9,492
1,493
9,494
16,494
23,494
25,494
9,501
23,501
1,502
3,502
5,502
6,502
11,502
14,502
15,502
21,502
24,502
1,505
3,505
1,508
9,508
9,509
9,511
9,512
9,514
9,515
9,516
9,517
9,518
9,519
9,520
1,521
3,521
5,521
6,521
9,521
11,521
14,521
15,521
17,521
21,521
9,522
9,523
9,524
9,525
9,526
9,528
9,529
9,531
9,532
1,533
3,533
5,533
6,533
14,533
15,533
21,533
1,534
3,534
5,534
6,534
14,534
15,534
21,534
1,535
3,535
5,535
6,535
14,535
15,535
21,535
1,536
3,536
5,536
6,536
14,536
15,536
21,536
1,538
3,538
5,538
6,538
14,538
15,538
21,538
1,539
3,539
5,539
6,539
14,539
15,539
21,539
9,540
21,540
9,541
21,541
1,545
3,545
1,546
3,546
9,547
9,548
9,549
9,550
9,551
9,552
9,553
9,554
9,556
9,557
9,558
9,559
9,560
9,561
9,562
9,563
9,565
1,567
1,568
3,568
1,569
3,569
6,570
23,570
6,571
23,571
6,572
23,572
9,579
9,580
9,581
9,582
9,583
9,584
9,586
9,587
9,588
1,595
3,595
5,595
6,595
14,595
15,595
1,596
3,596
5,596
6,596
14,596
15,596
1,597
3,597
5,597
6,597
14,597
15,597
1,598
3,598
5,598
6,598
14,598
15,598
9,602
9,603
9,604
9,605
9,606
9,607
9,609
16,609
2,610
9,610
16,610
9,615
9,616
9,617
9,618
9,619
9,620
1,623
3,623
15,623
1,624
3,624
15,624
2,628
9,628
2,629
9,629
2,630
9,630
2,631
9,631
9,632
1,633
3,633
5,633
6,633
11,633
14,633
15,633
1,634
3,634
5,634
6,634
9,634
11,634
14,634
15,634
9,635
9,637
9,640
9,641
9,642
9,643
9,644
9,645
1,646
3,646
1,648
3,648
15,648
1,649
3,649
15,649
1,650
3,650
15,650
9,652
9,653
9,654
9,655
9,656
9,657
9,658
9,659
9,660
9,661
9,662
2,663
9,663
22,663
2,664
9,664
22,664
2,665
9,665
22,665
2,666
9,666
22,666
9,668
9,669
9,670
1,674
3,674
15,674
1,676
21,676
9,677
9,678
9,679
9,680
9,681
9,682
9,683
21,692
9,693
22,693
23,693
9,694
22,694
23,694
9,695
22,695
23,695
9,696
22,696
