technology_id,set_id
7,1
7,2
7,3
2,4
7,4
12,4
117,4
124,4
73,5
74,6
75,7
95,8
96,9
12,10
79,11
85,12
75,17
86,18
95,19
114,19
79,20
73,24
2,26
73,27
74,28
75,29
85,30
86,30
91,31
95,32
7,36
7,37
7,38
7,39
9,41
112,41
80,43
137,44
90,45
101,46
139,47
120,48
7,49
112,49
7,50
7,51
112,51
7,52
112,52
73,56
74,56
75,56
111,56
79,57
85,58
7,59
12,61
79,63
101,64
7,71
110,76
80,77
85,77
86,77
90,77
100,77
101,77
108,77
110,77
126,77
139,77
108,80
110,80
111,80
108,81
5,83
7,83
8,83
2,84
5,84
6,84
2,85
5,85
6,85
7,86
7,87
8,88
8,89
12,90
73,90
75,90
77,90
79,90
80,90
81,90
83,90
84,90
85,90
86,90
91,90
94,90
95,90
101,90
111,90
112,90
126,90
137,90
138,90
2,91
7,91
78,91
80,91
82,91
83,91
84,91
85,91
86,91
91,91
92,91
96,91
99,91
111,91
112,91
135,91
2,92
7,92
78,92
80,92
82,92
83,92
84,92
85,92
86,92
91,92
92,92
96,92
99,92
111,92
112,92
135,92
137,92
73,93
74,93
75,93
79,94
76,95
91,95
78,96
93,96
95,96
96,96
97,96
109,96
111,96
114,96
73,97
79,98
85,99
96,100
95,101
114,101
73,106
75,106
76,107
74,108
9,109
18,109
121,109
124,109
73,111
74,112
79,113
109,117
111,117
14,118
88,118
111,118
74,119
75,119
79,119
80,119
82,119
83,119
84,119
85,119
86,119
88,119
93,119
94,119
95,119
96,119
99,119
100,119
101,119
111,119
120,119
135,119
137,119
138,119
139,119
79,120
80,120
81,120
82,120
83,120
84,120
85,120
86,120
88,120
91,120
92,120
93,120
94,120
95,120
96,120
98,120
99,120
110,120
111,120
113,120
137,120
2,122
5,122
112,122
83,124
84,125
120,126
139,127
101,128
82,129
80,130
14,131
75,132
80,133
111,134
7,135
9,135
117,135
118,135
7,136
7,137
2,138
7,140
9,140
117,140
118,140
7,141
9,141
117,141
118,141
14,142
4,143
5,143
7,143
8,143
9,143
10,143
18,143
112,143
117,143
12,144
94,147
136,149
95,150
80,152
111,153
80,154
82,154
83,154
84,154
85,154
86,154
100,154
107,154
110,154
112,154
7,155
112,155
7,156
112,156
111,158
2,160
7,161
7,162
2,164
2,165
2,166
112,166
7,167
7,168
2,171
5,171
6,171
24,171
112,171
2,172
5,172
6,172
24,172
112,172
2,173
7,174
99,174
112,174
110,179
85,180
86,180
80,182
81,182
109,183
2,184
112,184
7,185
112,185
2,186
112,186
7,187
2,188
7,189
112,189
7,190
112,190
7,191
112,191
7,192
112,192
7,193
8,193
4,194
5,194
7,194
8,194
9,194
18,194
112,194
117,194
118,194
124,194
4,195
5,195
7,195
8,195
9,195
18,195
112,195
117,195
118,195
124,195
8,198
79,206
91,207
85,209
109,210
96,211
79,212
85,213
94,215
12,217
85,219
12,220
85,221
12,223
85,223
7,225
2,226
8,228
117,228
14,229
15,230
124,230
7,231
73,232
75,233
76,235
86,236
79,238
137,239
7,243
117,243
118,243
85,246
86,247
12,248
73,249
85,250
74,251
75,252
76,253
86,254
100,255
80,257
110,258
7,260
117,260
118,260
12,261
83,263
2,264
7,264
2,265
7,265
7,266
7,267
7,268
7,269
8,269
10,269
9,270
18,270
124,270
7,271
8,271
10,271
9,272
18,272
124,272
100,274
12,275
101,276
82,277
82,280
100,281
2,284
3,284
7,284
8,284
9,284
12,284
112,284
113,284
117,284
125,284
73,285
75,286
74,287
86,289
73,292
74,293
75,294
76,295
85,296
86,297
109,304
76,307
79,308
137,309
86,310
85,311
100,313
101,314
110,315
73,317
75,318
85,319
76,320
12,321
86,322
100,323
101,324
110,325
79,327
100,329
85,331
12,335
73,336
74,337
75,338
76,339
85,340
86,341
1,342
2,342
3,342
5,342
6,342
7,342
9,342
10,342
12,342
24,342
117,342
119,342
4,343
8,343
9,343
10,343
12,343
18,343
119,343
4,344
7,344
8,344
9,344
4,346
5,346
7,346
8,346
9,346
10,346
14,346
18,346
117,346
118,346
4,347
5,347
7,347
8,347
9,347
10,347
14,347
18,347
117,347
118,347
8,350
117,350
1,351
2,351
3,351
7,351
24,351
7,352
110,353
100,354
3,356
101,357
2,358
4,358
5,358
7,358
8,358
23,358
80,358
110,358
125,358
2,359
3,359
7,359
12,359
14,360
14,361
14,362
7,363
8,363
9,363
18,363
121,363
109,364
12,365
73,366
74,367
75,368
76,369
85,370
86,371
7,372
73,374
79,375
95,376
96,377
5,378
7,379
118,380
97,381
12,382
73,383
85,386
94,387
96,388
109,389
12,394
79,395
85,396
79,400
83,401
84,402
89,403
91,404
92,405
12,406
85,407
86,409
101,410
82,411
86,412
94,413
7,414
91,415
1,431
2,431
4,431
7,431
117,431
2,432
4,432
5,432
7,432
8,432
9,432
12,432
118,432
119,432
4,434
5,434
6,434
7,434
8,434
9,434
10,434
13,434
15,434
18,434
117,434
121,434
124,434
73,435
137,439
111,440
81,441
139,443
86,444
137,445
7,447
7,448
7,450
9,451
14,451
87,451
137,453
79,454
75,455
73,456
7,458
7,459
7,461
7,468
7,469
94,470
95,470
96,470
109,470
110,470
7,471
2,472
4,474
7,474
8,474
9,474
10,474
117,474
118,474
94,475
95,475
109,475
7,476
117,477
2,478
137,480
75,482
73,483
7,484
117,484
2,486
2,487
7,487
7,488
7,489
7,490
7,491
7,492
7,493
117,493
7,494
85,495
7,501
7,502
9,505
2,508
73,509
75,511
76,512
79,514
84,515
85,516
86,517
91,518
138,519
137,520
7,521
12,522
74,523
75,524
76,525
79,526
100,528
84,529
91,531
138,532
12,533
82,534
85,535
86,536
101,538
100,539
2,540
7,541
8,545
9,545
13,545
18,545
121,545
5,546
7,546
12,547
73,548
74,549
75,550
76,551
79,552
91,553
12,556
73,557
75,558
79,559
83,560
91,561
94,562
95,562
73,563
75,563
76,563
79,565
8,568
9,568
13,568
18,568
121,568
5,569
7,569
83,570
79,571
91,572
79,579
138,580
83,581
84,582
95,583
12,584
75,586
79,587
86,588
100,595
101,596
110,597
126,598
12,602
73,603
74,604
75,605
76,606
86,607
85,609
109,610
12,615
73,616
74,617
75,618
76,619
85,620
100,623
110,624
79,628
91,629
95,630
109,631
7,632
7,633
7,634
79,635
94,637
95,637
76,640
73,641
74,642
75,643
85,644
12,645
110,646
100,648
101,649
110,650
12,652
73,653
83,654
91,655
75,656
75,657
12,658
73,659
76,660
85,661
74,662
12,663
76,664
86,664
73,665
80,666
137,666
83,668
79,669
85,669
86,670
100,674
84,676
92,676
95,676
108,676
109,676
111,676
139,676
86,677
12,678
73,679
74,680
75,681
76,682
85,683
8,692
9,692
117,692
121,692
1,693
3,693
2,694
24,694
12,695
7,696
8,696
9,696
10,696
14,696
121,696
1,697
2,697
3,697
5,697
6,697
7,697
8,697
9,697
10,697
12,697
14,697
18,697
23,697
24,697
117,697
118,697
119,697
121,697
1,698
2,698
3,698
5,698
6,698
7,698
8,698
9,698
10,698
12,698
14,698
18,698
23,698
24,698
117,698
118,698
119,698
121,698
12,699
79,700
94,701
73,703
74,704
75,705
79,706
86,707
137,708
80,709
91,710
96,711
73,712
74,713
75,714
79,715
85,716
86,717
91,718
95,719
96,720
100,721
101,722
12,723
79,724
82,725
86,726
101,727
73,728
74,729
12,730
100,731
101,732
73,734
74,735
75,736
100,737
101,738
100,739
101,740
5,743
7,743
5,744
7,744
79,746
83,747
84,748
91,749
96,750
86,751
75,752
73,753
74,754
85,755
101,756
95,757
7,758
7,759
7,760
91,761
84,762
83,763
83,766
96,768
79,771
85,772
94,773
109,776
97,777
83,779
73,783
75,784
74,785
79,786
83,787
91,788
83,795
79,804
95,805
84,806
94,807
89,809
91,817
83,820
79,821
91,822
86,824
12,825
85,826
94,832
80,833
79,840
96,842
91,843
83,845
84,845
79,846
85,846
95,847
96,848
91,849
109,850
101,851
79,852
96,854
91,856
83,857
84,857
96,859
95,860
94,861
93,863
74,864
83,865
95,866
120,867
111,868
79,869
83,870
84,870
91,872
2,876
3,876
5,876
6,876
7,876
15,876
117,876
124,876
4,878
12,878
14,878
119,878
134,878
12,879
73,880
74,880
75,881
79,882
85,883
86,884
83,885
100,885
83,886
73,887
75,890
12,891
75,892
80,894
85,896
100,899
101,900
126,901
110,902
100,903
101,904
126,905
110,906
73,907
75,916
86,917
137,918
100,919
12,924
73,925
74,926
75,927
76,928
85,929
86,930
137,931
85,932
81,935
73,936
74,937
75,938
79,939
86,941
137,942
109,950
75,957
85,958
12,959
86,964
85,965
12,966
79,967
100,968
12,978
73,979
75,980
79,981
82,982
83,984
101,985
12,987
85,987
86,987
91,991
111,992
114,992
96,993
111,993
